"","X1","X2","matrix.0..dim.pairs..1...1."
"64","TSLA","TWTR","2015-2-26"
"65","IEX","HRL","2014-5-19"
"66","AVY","AMP","2009-1-5"
"67","FTV","ICE","2017-10-7"
"68","PEAK","FISV","2014-6-14"
"69","TROW","ETN","2003-11-4"
"70","CTLT","INTU","2015-8-5"
"71","BK","ATVI","2006-12-24"
"72","IPG","FAST","2011-6-22"
"73","HIG","NFLX","2006-10-15"
"74","PVH","DISCA","2007-9-12"
"75","CMI","PSA","2006-10-15"
"76","UNH","PPL","2015-8-28"
"77","PH","STZ","2004-6-5"
"78","FTNT","BLL","2014-9-27"
"79","PGR","PRU","2003-8-28"
"80","DGX","CF","2008-12-15"
"81","FRC","GOOGL","2016-8-17"
"82","HUM","DISH","2002-8-4"
"83","RSG","VRTX","2017-2-27"
"84","CLX","CPB","2008-10-15"
"85","APA","SWKS","2002-5-12"
"86","EOG","PKG","2013-7-4"
"87","LKQ","CHTR","2010-11-3"
"88","LUV","PENN","2001-11-27"
"89","FBHS","TMUS","2012-8-28"
"90","EBAY","JKHY","2005-11-15"
"91","BWA","XLNX","2010-8-5"
"92","D","CINF","2000-1-11"
"93","MA","MXIM","2015-12-9"
"94","GM","XRAY","2011-3-6"
"95","MRNA","DD","2018-12-7"
"96","TMO","DVA","2000-1-13"
"97","SWK","PNR","2011-8-13"
"98","WDC","NEE","2005-5-22"
"99","IT","AME","2011-11-19"
"100","MAA","SYF","2016-9-15"
"101","EQR","AON","2000-4-24"
"102","CERN","WBA","2002-11-15"
"103","AZO","NTAP","2005-3-27"
"104","WLTW","MGM","2016-3-2"
"105","FCX","KMI","2015-1-19"
"106","CTXS","EIX","2005-9-16"
"107","SNPS","COST","2009-4-21"
"108","KSU","CBRE","2010-6-20"
"109","BDX","IP","2006-10-23"
"110","MRK","VTRS","2012-7-6"
"111","LDOS","EXPE","2006-11-13"
"112","NEM","LYB","2011-3-2"
"113","FOXA","CTAS","2019-3-12"
"114","CAT","PAYX","2014-6-14"
"115","WM","AXP","2003-11-4"
"116","KMB","SPGI","2013-7-28"
"117","HAS","INCY","2013-4-14"
"118","HWM","EQIX","2015-8-5"
"119","DG","CSCO","2015-8-25"
"120","TRV","VTR","2004-2-7"
"121","PAYC","AMD","2014-6-5"
"122","ITW","NCLH","2013-3-21"
"123","MTB","IFF","2001-9-27"
"124","WEC","SBUX","2011-9-1"
"125","APTV","VMC","2017-10-12"
"126","MSFT","XYL","2017-11-2"
"127","PXD","NSC","2011-11-1"
"128","MCO","PG","2013-4-13"
"129","AOS","PSX","2016-10-21"
"130","DTE","AKAM","2001-4-26"
"131","QCOM","KLAC","2015-3-16"
"132","TFC","PPG","2001-2-21"
"133","CMA","AMAT","2000-10-12"
"134","ABT","REG","2004-9-17"
"135","JCI","HBAN","2012-3-3"
"136","IVZ","AMZN","2008-9-13"
"137","TDG","SRE","2011-11-5"
"138","HSY","LOW","2013-1-26"
"139","MLM","OKE","2015-9-10"
"140","TTWO","OMC","2002-5-9"
"141","SBAC","PFG","2005-2-28"
"142","GPS","CZR","2017-11-17"
"143","MO","KO","2007-6-23"
"144","BEN","BIO","2007-10-8"
"145","BA","TAP","2006-10-24"
"146","EL","TXT","2017-9-20"
"147","TRMB","AIG","2006-9-25"
"148","DOW","ENPH","2019-3-20"
"149","J","PFE","2014-6-14"
"150","DXCM","VNO","2013-7-28"
"151","ES","DFS","2013-4-14"
"152","FRT","KHC","2015-8-5"
"153","NKE","BIIB","2006-12-24"
"154","MET","MTD","2011-6-22"
"155","SPG","CRL","2001-11-16"
"156","SLB","DPZ","2006-10-15"
"157","ORLY","WHR","2007-9-12"
"158","WY","WMB","2006-10-15"
"159","LEG","ADSK","2015-8-28"
"160","CPRT","WELL","2004-6-5"
"161","NVDA","ECL","2014-9-27"
"162","ANSS","APD","2003-8-28"
"163","EFX","EVRG","2008-12-15"
"164","UAL","IQV","2014-11-25"
"165","BXP","CTSH","2011-9-1"
"166","CDW","WMT","2017-10-12"
"167","STE","TYL","2003-12-13"
"168","NTRS","NOV","2001-2-26"
"169","NRG","MSCI","2015-8-17"
"170","GOOG","SIVB","2007-8-13"
"171","YUM","CSX","2004-3-4"
"172","HSIC","ALGN","2011-5-17"
"173","HCA","HBI","2013-7-13"
"174","LMT","CRM","2004-9-17"
"175","NXPI","VIAC","2012-3-3"
"176","SO","BAC","2008-9-13"
"177","LW","MMM","2017-4-20"
"178","ROST","LH","2006-8-12"
"179","DXC","CMS","2006-6-19"
"180","AAP","DISCK","2016-4-28"
"181","LNT","IPGP","2007-10-17"
"182","WU","O","2009-8-13"
"183","PKI","TJX","2009-6-5"
"184","PTC","AIZ","2006-10-21"
"185","AWK","STX","2017-4-22"
"186","MS","AMCR","2013-10-25"
"187","FMC","DLTR","2016-9-15"
"188","CNC","SNA","2002-11-15"
"189","SHW","LNC","2005-3-27"
"190","DLR","VZ","2016-3-2"
"191","CMG","CHD","2009-4-21"
"192","DVN","SYK","2010-6-20"
"193","MKTX","MRO","2006-10-23"
"194","SEE","PBCT","2012-7-6"
"195","F","WAT","2006-11-13"
"196","ROP","IBM","2011-3-2"
"197","WAB","DHR","2010-9-20"
"198","UNP","NWL","2013-12-27"
"199","PYPL","VRSK","2017-6-13"
"200","AMGN","MNST","2011-4-14"
"201","BR","DOV","2008-4-5"
"202","HPE","URI","2017-10-28"
"203","ISRG","FE","2015-8-10"
"204","ZION","FANG","2015-11-26"
"205","GPC","WRB","2008-1-1"
"206","UNM","MAS","2000-10-12"
"207","AVGO","SYY","2016-11-9"
"208","FDX","GIS","2003-12-27"
"209","ANTM","CFG","2015-7-21"
"210","NLOK","FB","2014-11-2"
"211","MCK","HAL","2012-10-18"
"212","A","NWS","2014-5-23"
"213","ROK","BSX","2003-12-4"
"214","NOC","PNC","2013-4-11"
"215","BAX","LYV","2017-7-2"
"216","MAR","CMCSA","2015-4-10"
"217","ZTS","GE","2017-12-20"
"218","ABBV","CTVA","2019-5-24"
"219","ZBRA","UAA","2010-6-14"
"220","TSCO","MU","2003-11-4"
"221","WFC","GS","2013-7-28"
"222","KIM","RL","2013-4-14"
"223","COF","FITB","2015-8-5"
"224","MPC","DIS","2015-8-25"
"225","STT","OXY","2004-2-7"
"226","AEP","TXN","2007-9-12"
"227","PNW","HON","2006-10-15"
"228","NOW","ADI","2015-8-28"
"229","HES","IR","2017-11-2"
"230","T","HII","2011-11-1"
"231","DE","PCAR","2013-4-13"
"232","DAL","NI","2010-8-5"
"233","JNPR","RTX","2000-1-11"
"234","HPQ","QRVO","2015-12-9"
"235","JNJ","TT","2011-3-6"
"236","ALK","RHI","2015-3-4"
"237","ARE","MPWR","2013-7-13"
"238","ESS","COO","2004-9-17"
"239","SJM","AES","2012-3-3"
"240","KEY","LRCX","2008-9-13"
"241","MSI","VLO","2011-11-5"
"242","MHK","HD","2013-1-26"
"243","ACN","ALB","2015-9-10"
"244","AAL","ORCL","2017-4-20"
"245","GL","ULTA","2016-4-28"
"246","ABC","MDLZ","2003-7-10"
"247","AEE","EXR","2016-12-17"
"248","LEN","COG","2012-2-25"
